group,trials,light_successes,light_success_rate,heavy_successes,heavy_success_rate,middle_count,mean_peak_n,median_peak_n,q1_peak_n,q3_peak_n,min_peak_n,max_peak_n
Plain DP,30,2,0.06666666666666667,19,0.6333333333333333,9,13.52958378791809,15.143118381500244,8.309759616851807,18.50473976135254,3.645657539367676,21.54288673400879
TTS 0.2 N,32,21,0.65625,3,0.09375,8,4.614489048719406,3.241316795349121,2.082867741584778,4.273338198661804,1.155240774154663,19.546772003173828
TTS 15 N,29,0,0.0,28,0.9655172413793104,1,16.685055140791267,16.37777328491211,15.844958305358887,18.213075637817383,9.411656379699707,20.117862701416016
